gid,lon,lat
마라12aa99aa,128.7329479000,35.2813383600
마라12aa99ab,128.7329821000,35.2835920900
마라12aa99ba,128.7330162000,35.2858458200
마라12aa99bb,128.7330504000,35.2880995500
마라12ab90ba,128.7345343000,35.2046829900
마라12ab90bb,128.7345684000,35.2069367500
마라12ab91aa,128.7346025000,35.2091905100
마라12ab91ab,128.7346367000,35.2114442700
마라12ab91ba,128.7346708000,35.2136980200
마라12ab91bb,128.7347049000,35.2159517800
마라12ab92aa,128.7347391000,35.2182055300
마라12ab92ab,128.7347732000,35.2204592900
마라12ab92ba,128.7348073000,35.2227130400
마라12ab92bb,128.7348415000,35.2249667900
마라12ab93aa,128.7348756000,35.2272205400
마라12ab93ab,128.7349098000,35.2294742900
마라12ab93ba,128.7349439000,35.2317280400
마라12ab93bb,128.7349781000,35.2339817900
마라12ab94aa,128.7350123000,35.2362355400
마라12ab94ab,128.7350464000,35.2384892900
마라12ab94ba,128.7350806000,35.2407430300
마라12ab94bb,128.7351148000,35.2429967800
마라12ab95aa,128.7351490000,35.2452505200
마라12ab95ab,128.7351832000,35.2475042600
마라12ab95ba,128.7352173000,35.2497580100
마라12ab95bb,128.7352515000,35.2520117500
마라12ab96aa,128.7352857000,35.2542654900
마라12ab96ab,128.7353199000,35.2565192300
마라12ab96ba,128.7353541000,35.2587729700
마라12ab96bb,128.7353883000,35.2610267100
마라12ab97aa,128.7354226000,35.2632804400
마라12ab97ab,128.7354568000,35.2655341800
마라12ab97ba,128.7354910000,35.2677879100
마라12ab97bb,128.7355252000,35.2700416500
마라12ab98aa,128.7355594000,35.2722953800
마라12ab98ab,128.7355937000,35.2745491200
마라12ab98ba,128.7356279000,35.2768028500
마라12ab98bb,128.7356621000,35.2790565800
마라12ab99aa,128.7356964000,35.2813103100
마라12ab99ab,128.7357306000,35.2835640400
마라12ab99ba,128.7357649000,35.2858177700
마라12ab99bb,128.7357991000,35.2880714900
마라12ba90ba,128.7372802000,35.2046549600
마라12ba90bb,128.7373144000,35.2069087200
마라12ba91aa,128.7373486000,35.2091624800
