gid,주차장,경도,위도,건물1,건물2,건물3,관공서,경제인구,전기차,충전소,차량속도,입지총점,총점순위
마라24ab94aa,0.210989010989011,128.8668616,35.2348182,0.15894039735099338,0.24,0.0,0.375,0.16907470027666768,0.0,-0.0,-0.3928347784166667,0.5501803192109944,294
마라13bb97bb,0.0,128.7520137,35.26987212,0.5496688741721855,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.5496688741721855,295
마라14bb96ba,0.0,128.7628311,35.25848929,0.16556291390728478,0.0,0.0,0.375,0.007377805102981862,0.0,-0.0,-0.0,0.5479407190102666,296
마라28bb93bb,0.0,128.9162635,35.2319961,0.3509933774834437,0.0,0.0,0.0,0.0,0.19689119170984457,-0.0,-0.0,0.5478845691932883,297
마마11bb02ab,0.0,128.7306429,35.31066481,0.08609271523178808,0.36,0.0,0.0,0.43406086689209955,0.0,-0.0,-0.3333333333333333,0.5468202487905542,298
마라25bb93aa,0.0,128.8831891,35.22561647,0.046357615894039736,0.16,0.4,0.0,0.4377497694435905,0.0,-0.5,-0.0,0.5441073853376304,299
마라14aa95ab,0.0,128.7544144,35.24730643,0.1456953642384106,0.32,0.0,0.0,0.07838917921918229,0.0,-0.0,-0.0,0.5440845434575929,300
마라18bb89aa,0.0,128.8057098,35.19041176,0.12582781456953643,0.2,0.0,0.375,0.2591454042422379,0.0,-0.0,-0.41589595375,0.5440772650617745,301
마라28aa94ba,0.0,128.9081405,35.23885302,0.543046357615894,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.543046357615894,302
마라15ab99aa,0.0,128.7686778,35.28096887,0.3443708609271523,0.12,0.0,0.0,0.0780817706732247,0.0,-0.0,-0.0,0.542452631600377,303
마라24aa94ab,0.0,128.8641526,35.23710282,0.07947019867549669,0.4,0.0,0.0,0.45312019674146936,0.0,-0.0,-0.39090799616666666,0.5416823992502995,304
마라17bb88bb,0.0,128.7946927,35.18827597,0.16556291390728478,0.12,0.0,0.0,0.2542268675069167,0.0,-0.0,-0.0,0.5397897814142014,305
마라24aa97aa,0.0,128.864568,35.26189271,0.12582781456953643,0.2,0.0,0.0,0.213956347986474,0.0,-0.0,-0.0,0.5397841625560105,306
마라23bb97bb,0.0,128.8619335,35.26868454,0.1390728476821192,0.28,0.0,0.0,0.3074085459575776,0.0,-0.0,-0.18698217725,0.5394992163896968,307
마라18bb87aa,0.0,128.8054214,35.17238211,0.0,0.24,0.0,0.0,0.2954196126652321,0.0,-0.0,-0.0,0.5354196126652321,308
마라28aa96aa,0.0,128.9083744,35.25237453,0.32450331125827814,0.0,0.0,0.0,0.20688595142944974,0.0,-0.0,-0.0,0.5313892626877279,309
마라15ab95ab,0.0,128.7681509,35.24716325,0.32450331125827814,0.0,0.2,0.0,0.005533353827236397,0.0,-0.0,-0.0,0.5300366650855146,310
마라17ab90aa,0.0,128.7893802,35.19960312,0.0,0.24,0.0,0.0,0.28588994774054716,0.0,-0.0,-0.0,0.5258899477405472,311
마라25aa95ba,0.0,128.8753302,35.24824656,0.12582781456953643,0.2,0.2,0.0,0.1813710421149708,0.0,-0.0,-0.18256262041666668,0.5246362362678406,312
마라31bb94ab,0.0,128.9493027,35.23611301,0.1456953642384106,0.0,0.0,0.375,0.0030740854595757753,0.0,-0.0,-0.0,0.5237694496979863,313
마라17aa87aa,0.0,128.7862082,35.17258768,0.0,0.0,0.0,0.0,0.0,0.5233160621761658,-0.0,-0.0,0.5233160621761658,314
마라16aa97bb,0.0,128.7767462,35.26961362,0.5231788079470199,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.5231788079470199,315
마라25bb94bb,0.0,128.883457,35.24139177,0.23178807947019867,0.12,0.0,0.0,0.170304334460498,0.0,-0.0,-0.0,0.5220924139306966,316
마라28ab94ba,0.0,128.9108874,35.23882102,0.08609271523178808,0.16,0.0,0.0,0.27513064863203196,0.0,-0.0,-0.0,0.5212233638638201,317
마마18aa04aa,0.0,128.799631,35.32572131,0.12582781456953643,0.0,0.0,0.375,0.020288964033200123,0.0,-0.0,-0.0,0.5211167786027365,318
마마11aa02ab,0.0,128.7223945,35.31074849,0.006622516556291391,0.28,0.0,0.0,0.2320934521979711,0.0,-0.0,-0.0,0.5187159687542625,319
마라24ab96aa,0.0,128.8671643,35.25284721,0.08609271523178808,0.24,0.0,0.0,0.3470642483861051,0.0,-0.0,-0.15508188825,0.5180750753678931,320
마라18ab87bb,0.0,128.8000396,35.1792023,0.09271523178807947,0.0,0.0,0.375,0.04887795880725484,0.0,-0.0,-0.0,0.5165931905953344,321
마라22ba90aa,0.0,128.8470382,35.19897536,0.46357615894039733,0.04,0.0,0.0,0.011681524746387948,0.0,-0.0,-0.0,0.5152576836867853,322
마라19ba93ab,0.0,128.8145633,35.22863536,0.5099337748344371,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.5099337748344371,323
마라23ab94ba,0.0,128.8559496,35.23944907,0.24503311258278146,0.04,0.0,0.0,0.2234860129111589,0.0,-0.0,-0.0,0.5085191254939404,324
마마31ab01ab,0.0,128.9449294,35.29927786,0.5033112582781457,0.0,0.0,0.0,0.0027666769136181985,0.0,-0.0,-0.0,0.5060779351917639,325
마라20bb95ba,0.0,128.8286271,35.24876839,0.5033112582781457,0.0,0.0,0.0,0.0027666769136181985,0.0,-0.0,-0.0,0.5060779351917639,325
마라24aa96ab,0.0,128.8644547,35.25513184,0.09271523178807947,0.28,0.0,0.0,0.2542268675069167,0.0,-0.0,-0.12135115608333333,0.5055909432116629,326
마라25aa94aa,0.356043956043956,128.8751019,35.23472485,0.09271523178807947,0.32,0.0,0.0,0.09283738087918844,0.0,-0.0,-0.0,0.5055526126672679,327
마라19ab94ab,0.0,128.8119618,35.23767988,0.4966887417218543,0.0,0.0,0.0,0.008300030740854595,0.0,-0.0,-0.0,0.5049887724627089,328
