gid,건물1,건물2,건물3,관공서,주차장,경제인구,전기차,충전소,차량속도,lon,lat
마마22bb00bb,0,0,0,0,,,0,0,,128.8513911,35.29585131
마마22bb01aa,0,0,0,0,,,0,0,,128.8514286,35.29810493
마마22bb01ab,0,0,0,0,,,0,0,,128.8514661,35.30035855
마마22bb01ba,0,0,0,0,,,0,0,,128.8515035,35.30261217
마마22bb01bb,0,0,0,0,,,0,0,,128.851541,35.30486579
마마22bb02aa,0,0,0,0,,,0,0,,128.8515785,35.30711941
마마22bb02ab,0,0,0,0,,,0,0,,128.851616,35.30937302
마마22bb02ba,0,0,0,0,,,0,0,,128.8516535,35.31162664
마마22bb02bb,7,0,0,0,,,0,0,,128.851691,35.31388025
마마22bb03aa,10,0,0,0,,,0,0,,128.8517285,35.31613387
마마22bb03ab,12,0,0,0,,0.0,0,0,,128.851766,35.31838748
마마22bb03ba,8,0,0,0,,0.0,0,0,,128.8518035,35.32064109
마마22bb03bb,7,0,0,0,,8.0,0,0,,128.851841,35.3228947
마마22bb04aa,2,4,0,0,,0.0,0,0,,128.8518786,35.32514831
마마22bb04ab,1,0,0,0,,0.0,0,0,,128.8519161,35.32740192
마마22bb04ba,0,0,0,0,,,0,0,,128.8519536,35.32965553
마마22bb04bb,0,0,0,0,,,0,0,,128.8519911,35.33190914
마마22bb05aa,0,0,0,0,,0.0,0,0,,128.8520287,35.33416275
마마22bb05ab,0,0,0,0,,,0,0,,128.8520662,35.33641635
마마22bb05ba,0,0,0,0,,,0,0,,128.8521038,35.33866996
마마22bb05bb,9,0,0,0,,,0,0,,128.8521413,35.34092356
마마22bb06aa,29,0,0,0,,0.0,0,0,,128.8521789,35.34317716
마마22bb06ab,26,0,0,0,,0.0,0,0,,128.8522164,35.34543077
마마22bb06ba,23,2,0,0,,0.0,0,0,,128.852254,35.34768437
마마22bb06bb,18,0,0,0,,18.0,0,0,,128.8522916,35.34993797
마마22bb07aa,12,0,0,0,,35.0,0,0,,128.8523291,35.35219157
마마22bb07ab,1,0,0,0,,14.0,0,0,,128.8523667,35.35444517
마마22bb07ba,7,0,0,0,,8.0,0,0,14.0,128.8524043,35.35669876
마마22bb07bb,3,0,0,0,,12.0,0,0,,128.8524419,35.35895236
마마22bb08aa,1,0,0,0,,,0,0,,128.8524795,35.36120596
마마22bb08ab,14,0,0,0,,13.0,0,0,,128.852517,35.36345955
마마22bb08ba,2,0,0,0,,0.0,0,0,,128.8525546,35.36571315
마마22bb08bb,0,0,0,0,,0.0,3,0,,128.8525922,35.36796674
마마22bb09aa,0,0,0,0,,0.0,0,0,,128.8526298,35.37022033
마마22bb09ab,0,0,0,0,,,0,0,,128.8526675,35.37247393
마마22bb09ba,0,0,0,0,,,0,0,,128.8527051,35.37472752
마마22bb09bb,1,0,0,0,,,0,0,,128.8527427,35.37698111
마마22bb10aa,0,0,0,0,,,0,0,,128.8527803,35.3792347
마마22bb10ab,0,0,0,0,,,0,0,,128.8528179,35.38148829
마마22bb10ba,1,0,0,0,,,0,0,,128.8528556,35.38374187
마마22bb10bb,11,0,0,0,,0.0,0,0,,128.8528932,35.38599546
마마22bb11aa,0,0,0,0,,,0,0,,128.8529308,35.38824905
마마22bb11ab,0,0,0,0,,,0,0,,128.8529685,35.39050263
마마22bb11ba,0,0,0,0,,,0,0,,128.8530061,35.39275621
마마23aa00aa,0,0,0,0,,,0,0,,128.8540273,35.2890597
마마23aa00ab,0,0,0,0,,,0,0,,128.8540649,35.29131332
마마23aa00ba,0,0,0,0,,,0,0,,128.8541024,35.29356694
마마23aa00bb,0,0,0,0,,,0,0,,128.85414,35.29582056
마마23aa01aa,0,0,0,0,,,0,0,,128.8541775,35.29807418
마마23aa01ab,0,0,0,0,,,0,0,,128.8542151,35.3003278
마마23aa01ba,0,0,0,0,,,0,0,,128.8542526,35.30258141
마마23aa01bb,0,0,0,0,,,0,0,,128.8542902,35.30483503
마마23aa02aa,0,0,0,0,,,0,0,,128.8543277,35.30708864
마마23aa02ab,0,0,0,0,,,0,0,,128.8543653,35.30934226
마마23aa02ba,2,0,0,0,,,0,0,,128.8544029,35.31159587
마마23aa02bb,2,0,0,0,,,0,0,,128.8544405,35.31384948
마마23aa03aa,0,0,0,0,,,0,0,,128.854478,35.31610309
마마23aa03ab,1,0,0,0,,,0,0,,128.8545156,35.3183567
마마23aa03ba,25,0,0,0,,0.0,0,0,,128.8545532,35.32061031
마마23aa03bb,26,0,0,0,,0.0,0,0,,128.8545908,35.32286392
마마23aa04aa,0,0,0,0,,,12,0,,128.8546284,35.32511753
마마23aa04ab,0,0,0,0,,,0,0,,128.854666,35.32737114
마마23aa04ba,0,0,0,0,,,0,0,,128.8547036,35.32962474
마마23aa04bb,0,0,0,0,,,0,0,,128.8547412,35.33187835
마마23aa05aa,10,0,0,0,,0.0,0,0,,128.8547788,35.33413195
마마23aa05ab,0,0,0,0,,,0,0,,128.8548164,35.33638556
마마23aa05ba,0,0,0,0,,,0,0,,128.8548541,35.33863916
