gid,건물1,건물2,건물3,행정기관,도서관,주차구획수_sum,경제인구,전기차와충전소_전처리_결과_전기차,전기차와충전소_전처리_결과_충전소,김해_차량평균속도_avg_speed
마라12bb95bb,1,0,0,0,0,,0.0000000000000000000000000000000,0,0,
마라12bb96aa,4,0,0,0,0,,0.0000000000000000000000000000000,0,0,
마라12bb96ab,13,0,0,0,0,,41.0000000000000000000000000000000,0,0,
마라12bb96ba,3,0,0,0,0,,0.0000000000000000000000000000000,0,0,
마라12bb96bb,20,0,0,0,0,,6.0000000000000000000000000000000,0,0,
마라12bb97aa,18,0,0,0,0,,0.0000000000000000000000000000000,0,0,
마라12bb97ab,1,0,0,0,0,,,0,0,
마라12bb97ba,0,0,0,0,0,,,0,0,
마라12bb97bb,0,0,0,0,0,,,0,0,
마라12bb98aa,0,0,0,0,0,,,0,0,
마라12bb98ab,0,0,0,0,0,,,0,0,
마라12bb98ba,6,0,0,0,0,,0.0000000000000000000000000000000,0,0,
마라12bb98bb,0,0,0,0,0,,,0,0,
마라12bb99aa,0,0,0,0,0,,,0,0,
마라12bb99ab,0,0,0,0,0,,,0,0,
마라12bb99ba,0,0,0,0,0,,16.0000000000000000000000000000000,0,0,
마라12bb99bb,0,0,0,0,0,,,0,0,
마라13aa86ab,0,0,0,0,0,,,0,0,
마라13aa86ba,0,0,0,0,0,,,0,0,
마라13aa86bb,0,0,0,0,0,,,0,0,
마라13aa87aa,0,0,0,0,0,,,0,0,
마라13aa87ab,0,0,0,0,0,,,0,0,
마라13aa87ba,0,0,0,0,0,,,0,0,
마라13aa87bb,0,0,0,0,0,,,0,0,
마라13aa88aa,0,0,0,0,0,,,0,0,
마라13aa88ab,0,0,0,0,0,,,0,0,
마라13aa90ba,0,0,0,0,0,,,0,0,
마라13aa90bb,0,0,0,0,0,,,0,0,
마라13aa91aa,0,0,0,0,0,,,0,0,
마라13aa91ab,0,0,0,0,0,,,0,0,
마라13aa91ba,0,0,0,0,0,,,0,0,
마라13aa91bb,0,0,0,0,0,,,0,0,
마라13aa92aa,0,0,0,0,0,,,0,0,
마라13aa92ab,0,0,0,0,0,,,0,0,
마라13aa92ba,0,0,0,0,0,,,0,0,
마라13aa92bb,0,0,0,0,0,,,0,0,
마라13aa93aa,0,0,0,0,0,,0.0000000000000000000000000000000,0,0,
마라13aa93ab,2,0,0,0,0,,0.0000000000000000000000000000000,0,0,
마라13aa93ba,1,0,0,0,0,,,0,0,
마라13aa93bb,0,0,0,0,0,,,0,0,
마라13aa94aa,1,0,0,0,0,,0.0000000000000000000000000000000,0,0,
마라13aa94ab,23,0,0,0,0,,17.0000000000000000000000000000000,0,0,
마라13aa94ba,0,0,0,0,0,,,0,0,
마라13aa94bb,0,0,0,0,0,,,0,0,
마라13aa95aa,12,0,0,0,0,,19.9999999999999964472863211994991,0,0,
마라13aa95ab,7,0,0,0,0,,14.0000000000000017763568394002505,0,0,
마라13aa95ba,13,0,0,0,0,,,0,0,
마라13aa95bb,3,0,0,0,0,,,0,0,15.907514450000001
마라13aa96aa,10,0,0,0,0,,0.0000000000000000000000000000000,0,0,
마라13aa96ab,2,0,0,0,0,,7.0000000000000008881784197001252,0,0,
마라13aa96ba,15,0,0,0,0,,0.0000000000000000000000000000000,0,0,
마라13aa96bb,11,0,0,0,0,,17.0000000000000000000000000000000,0,0,
마라13aa97aa,0,0,0,0,0,,0.0000000000000000000000000000000,0,0,
마라13aa97ab,0,0,0,0,0,,,6,0,
마라13aa97ba,12,0,0,0,0,,0.0000000000000000000000000000000,0,0,
마라13aa97bb,2,0,0,0,0,,,0,0,
마라13aa98aa,0,0,0,0,0,,,0,0,28.000000000000000
마라13aa98ab,0,0,0,0,0,,,0,0,
마라13aa98ba,0,0,0,0,0,,,0,0,
마라13aa98bb,0,0,0,0,0,,,0,0,
마라13aa99aa,0,0,0,0,0,,,0,0,
마라13aa99ab,0,0,0,0,0,,,0,0,
마라13aa99ba,0,0,0,0,0,,0.0000000000000000000000000000000,0,0,
마라13aa99bb,0,0,0,0,0,,,0,0,
마라13ab86ab,0,0,0,0,0,,,0,0,
마라13ab86ba,0,0,0,0,0,,,0,0,
마라13ab86bb,0,0,0,0,0,,,0,0,
마라13ab87aa,0,0,0,0,0,,,0,0,
마라13ab87ab,0,0,0,0,0,,,0,0,
마라13ab87ba,0,0,0,0,0,,,0,0,
마라13ab87bb,0,0,0,0,0,,,0,0,
마라13ab88aa,0,0,0,0,0,,,0,0,
마라13ab88ab,0,0,0,0,0,,,0,0,
마라13ab88ba,0,0,0,0,0,,,0,0,
마라13ab88bb,0,0,0,0,0,,,0,0,
마라13ab89aa,0,0,0,0,0,,,0,0,
마라13ab90ab,0,0,0,0,0,,,0,0,
마라13ab90ba,0,0,0,0,0,,,0,0,
마라13ab90bb,0,0,0,0,0,,,0,0,
마라13ab91aa,0,0,0,0,0,,,0,0,
마라13ab91ab,0,0,0,0,0,,,0,0,
마라13ab91ba,0,0,0,0,0,,,0,0,
마라13ab91bb,0,0,0,0,0,,,0,0,
마라13ab92aa,0,0,0,0,0,,,0,0,
마라13ab92ab,0,0,0,0,0,,,0,0,
마라13ab92ba,0,0,0,0,0,,,0,0,
마라13ab92bb,2,0,0,0,0,,,0,0,
마라13ab93aa,3,0,0,0,0,,,0,0,
마라13ab93ab,0,0,0,0,0,,,0,0,
마라13ab93ba,0,0,0,0,0,,,0,0,
마라13ab93bb,0,0,0,0,0,,,0,0,
마라13ab94aa,22,0,0,0,0,,0.0000000000000000000000000000000,0,0,
마라13ab94ab,25,0,0,0,0,,18.0000000000000000000000000000000,0,0,
마라13ab94ba,0,0,0,0,0,,,0,0,
마라13ab94bb,0,0,0,0,0,,,0,0,
마라13ab95aa,1,0,0,0,0,,8.0000000000000000000000000000000,0,0,
마라13ab95ab,7,0,0,0,0,,17.0000000000000000000000000000000,0,0,
마라13ab95ba,27,0,0,0,0,,81.0000000000000000000000000000000,0,0,
마라13ab95bb,21,0,0,0,0,,9.0000000000000000000000000000000,0,0,
마라13ab96aa,27,0,0,0,0,,19.0000000000000000000000000000000,0,0,
마라13ab96ab,22,0,0,0,0,,11.0000000000000000000000000000000,0,0,
마라13ab96ba,14,0,0,0,0,,15.0000000000000000000000000000000,0,0,
마라13ab96bb,17,3,0,0,0,,213.0000000000000000000000000000000,0,0,
마라13ab97aa,0,0,0,0,0,,0.0000000000000000000000000000000,0,0,
마라13ab97ab,24,0,0,0,0,,,0,0,
마라13ab97ba,27,0,0,0,0,,8.0000000000000000000000000000000,0,0,
마라13ab97bb,13,0,0,0,0,,,0,0,
마라13ab98aa,9,0,0,0,0,,0.0000000000000000000000000000000,0,0,
마라13ab98ab,0,0,0,0,0,,,0,0,
마라13ab98ba,0,0,0,0,0,,,0,0,
마라13ab98bb,0,0,0,0,0,,,0,0,
마라13ab99aa,0,0,0,0,0,,0.0000000000000000000000000000000,0,0,
마라13ab99ab,0,0,0,0,0,,0.0000000000000000000000000000000,0,0,
마라13ab99ba,0,0,0,0,0,,,0,0,
마라13ab99bb,4,0,0,0,0,,14.0000000000000017763568394002505,0,0,
마라13ba86ab,0,0,0,0,0,,,0,0,
마라13ba86ba,0,0,0,0,0,,,0,0,
